dataset,snr,method,method_name,psnr,ssim,lpips,roi_metric,roi_psnr,delta_psnr_vs_b1,delta_roi_vs_b1
DIV2K Val,-2,cnn,B1: CNN-DeepJSCC,22.186,0.6637,0.4261,roi_psnr,22.011,0.0,0.0
DIV2K Val,-2,semantic,B2: Semantic-weighted,22.308,0.6701,0.3994,roi_psnr,22.149,0.12199999999999989,0.13800000000000168
DIV2K Val,-2,sira,Ours: SIRA,22.865,0.6957,0.3875,roi_psnr,22.689,0.6789999999999985,0.6780000000000008
DIV2K Val,0,cnn,B1: CNN-DeepJSCC,23.378,0.7186,0.3576,roi_psnr,23.19,0.0,0.0
DIV2K Val,0,semantic,B2: Semantic-weighted,23.571,0.7269,0.3277,roi_psnr,23.402,0.1930000000000014,0.21199999999999974
DIV2K Val,0,sira,Ours: SIRA,23.925,0.7406,0.3283,roi_psnr,23.727,0.5470000000000006,0.536999999999999
DIV2K Val,2,cnn,B1: CNN-DeepJSCC,24.337,0.7569,0.3074,roi_psnr,24.147,0.0,0.0
DIV2K Val,2,semantic,B2: Semantic-weighted,24.594,0.7668,0.274,roi_psnr,24.42,0.25700000000000145,0.27300000000000324
DIV2K Val,2,sira,Ours: SIRA,24.762,0.7734,0.2836,roi_psnr,24.575,0.4250000000000007,0.4280000000000008
Kodak-24,-2,cnn,B1: CNN-DeepJSCC,22.305,0.6593,0.28,roi_psnr,21.964,0.0,0.0
Kodak-24,-2,semantic,B2: Semantic-weighted,22.485,0.6647,0.2846,roi_psnr,22.184,0.17999999999999972,0.22000000000000242
Kodak-24,-2,sira,Ours: SIRA,22.595,0.6793,0.2568,roi_psnr,22.337,0.28999999999999915,0.3730000000000011
Kodak-24,0,cnn,B1: CNN-DeepJSCC,23.169,0.7153,0.217,roi_psnr,22.806,0.0,0.0
Kodak-24,0,semantic,B2: Semantic-weighted,23.476,0.7254,0.217,roi_psnr,23.163,0.3069999999999986,0.3569999999999993
Kodak-24,0,sira,Ours: SIRA,23.415,0.7293,0.2033,roi_psnr,23.099,0.24599999999999866,0.29299999999999926
Kodak-24,2,cnn,B1: CNN-DeepJSCC,23.81,0.754,0.1735,roi_psnr,23.423,0.0,0.0
Kodak-24,2,semantic,B2: Semantic-weighted,24.21,0.7665,0.1724,roi_psnr,23.878,0.40000000000000213,0.45500000000000185
Kodak-24,2,sira,Ours: SIRA,23.975,0.763,0.1623,roi_psnr,23.632,0.1650000000000027,0.20900000000000318
COCO Object ROI,-2,cnn,B1: CNN-DeepJSCC,22.162,0.64,0.26,object_roi_psnr,21.414,0.0,0.0
COCO Object ROI,-2,semantic,B2: Semantic-weighted,22.312,0.6423,0.2576,object_roi_psnr,21.578,0.15000000000000213,0.16399999999999793
COCO Object ROI,-2,sira,Ours: SIRA,22.522,0.6582,0.2374,object_roi_psnr,21.841,0.35999999999999943,0.4269999999999996
COCO Object ROI,0,cnn,B1: CNN-DeepJSCC,23.095,0.6901,0.2007,object_roi_psnr,22.285,0.0,0.0
COCO Object ROI,0,semantic,B2: Semantic-weighted,23.343,0.6964,0.1955,object_roi_psnr,22.535,0.2480000000000011,0.25
COCO Object ROI,0,sira,Ours: SIRA,23.368,0.7028,0.1855,object_roi_psnr,22.612,0.2729999999999997,0.3269999999999982
COCO Object ROI,2,cnn,B1: CNN-DeepJSCC,23.797,0.7251,0.1601,object_roi_psnr,22.948,0.0,0.0
COCO Object ROI,2,semantic,B2: Semantic-weighted,24.124,0.7328,0.1537,object_roi_psnr,23.265,0.3269999999999982,0.31700000000000017
COCO Object ROI,2,sira,Ours: SIRA,24.001,0.7337,0.1504,object_roi_psnr,23.194,0.20400000000000063,0.24599999999999866
